,url,2nd_type
941,WallStreetOnParade.com,
942,washingtonexaminer.com,unreliable
943,washingtonfed.com,
944,washingtonpost.com.co,
945,washingtonsblog.com,conspiracy
946,waterfordwhispersnews.com,
947,wealthcycles.com,
948,wealthwire.com,
949,wearechange.org,conspiracy
950,weaselzippers.us,bias
951,webdaily.com,conspiracy
952,weeklystandard.com,bias
953,weeklyworldnews.com,rumor
954,weshapelife.org,junksci
955,westernjournalism.com,clickbait
956,whatdoesitmean.com,
957,whatreallyhappened.com,rumor
958,whitepower.com,conspiracy
959,whowhatwhy.com,
960,whowhatwhy.org,
961,whydontyoutrythis.com,rumor
962,wideawakeamerica.com,
963,WideAwakeNews.com,
964,wikileaks.com, 
965,wikileaks.org, 
966,wikispooks.com,
967,WilliamBanzai7.blogspot.com,
968,Willyloman.wordpress.com,
969,winkprogress.com,
970,winningdemocrats.com,unreliable
971,witscience.org,
972,wnd.com,clickbait
973,WolfStreet.com,
974,wonkie.com,
975,world24monitor.com,
976,worldcallyoutoday.com,
977,worlddaily.info,
978,worldnewsdailyreport.com,
979,worldnewspolitics.com,
980,worldpoliticsnow.com,
981,worldpoliticsus.com,
982,worldrumor.com,
983,worldstoriestoday.com,
984,worldtruth.tv,junksci
985,worldwidehealthy.com,clickbait
986,wtoe5news.com,satire
987,wundergroundmusic.com,
988,www.rt.com,
989,X22Report.com,
990,yellowhammernews.com,
991,yesimright.com,bias
992,Youngcons.com,unreliable
993,yourfunpage.com,
994,yournationnews.com,
995,YourNewsline.wordpress.com,
996,yournewswire.com,junksci
997,zaytung.com,
998,Zengardner.com,
999,zerohedge.com,
1000,zootfeed.com,
