,url,3rd_type
969,winkprogress.com,
970,winningdemocrats.com, 
971,witscience.org,
972,wnd.com,unreliable
973,WolfStreet.com,
974,wonkie.com,
975,world24monitor.com,
976,worldcallyoutoday.com,
977,worlddaily.info,
978,worldnewsdailyreport.com,
979,worldnewspolitics.com,
980,worldpoliticsnow.com,
981,worldpoliticsus.com,
982,worldrumor.com,
983,worldstoriestoday.com,
984,worldtruth.tv,
985,worldwidehealthy.com,
986,wtoe5news.com,
987,wundergroundmusic.com,
988,www.rt.com,
989,X22Report.com,
990,yellowhammernews.com,
991,yesimright.com,
992,Youngcons.com,
993,yourfunpage.com,
994,yournationnews.com,
995,YourNewsline.wordpress.com,
996,yournewswire.com,
997,zaytung.com,
998,Zengardner.com,
999,zerohedge.com,
1000,zootfeed.com,
